time,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z,body3_x,body3_y,body3_z
0.00000000,-51938949.10899582,99999437632.86123657,-99774498302.25256348,-99999470162.30870056,-199955641375.50842285,100000017546.07315063,-430888.58229827,-596257.35281584,149891120756.17941284
86400.00000000,-104258297.52348512,99996711717.07769775,-99545681973.11676025,-99996902694.76431274,-199906827028.89151001,100000102217.61459351,-2519007.71219635,-3484688.18620701,149778859755.50216675
172800.00000000,-156957844.55097631,99991817287.31881714,-99313545367.45079041,-99992295881.85089111,-199853553486.21359253,100000252713.59579468,-6266273.59812923,-8663801.10526483,149663212653.85501099
259200.00000000,-210037413.40192094,99984749243.04243469,-99078082683.11422729,-99985647874.74504089,-199795816979.46847534,100000467728.52320862,-11674711.85303721,-16132263.57401370,149544174954.59103394
345600.00000000,-263496851.30777010,99975502347.00962830,-98839287959.62362671,-99976956690.76240540,-199733613445.41601562,100000745951.87371826,-18746457.92981891,-25888901.59365935,149421742007.74990845
432000.00000000,-317336029.64806294,99964071223.75144958,-98597155076.76696777,-99966220212.75531006,-199666938524.30908203,100001086067.52206421,-27483757.59662760,-37932699.44239993,149295909009.24490356
518400.00000000,-371554844.08671051,99950450357.98655701,-98351677753.17604065,-99953436188.46099854,-199595787558.50988770,100001486753.15985107,-37888967.45229791,-52262799.47671302,149166671000.01617432
604800.00000000,-426153214.71764630,99934634092.98851013,-98102849544.85597229,-99938602229.80014038,-199520155590.99447632,100001946679.70550537,-49964555.48222524,-68878501.99409007,149034022865.15045166
691200.00000000,-481131086.22002417,99916616628.90167236,-97850663843.67134094,-99921715812.12493896,-199440037363.74447632,100002464510.70463562,-63713101.65505533,-87779265.15724824,148897959332.96670532
777600.00000000,-536488428.02315384,99896392021.00445557,-97595113875.78779602,-99902774273.41629028,-199355427316.02459717,100003038901.72010803,-79137298.56057723,-108964704.97990954,148758474974.06768799
864000.00000000,-592225234.48137319,99873954177.91873169,-97336192700.06855774,-99881774813.42939758,-199266319582.54449463,100003668499.71136475,-96239952.08924916,-132434595.37429540,148615564200.35717773
950400.00000000,-648341525.05906737,99849296859.76400757,-97073893206.42472839,-99858714492.78712463,-199172707991.50350952,100004351942.40223694,-115023982.15382382,-158188868.26054591,148469221264.02249146
1036800.00000000,-704837344.52605474,99822413676.25512695,-96808208114.11880493,-99833590232.02038574,-199074586062.51684570,100005087857.63665771,-135492423.45357686,-186227613.73833290,148319440256.48214722
1123200.00000000,-761712763.16356969,99793298084.74205017,-96539129970.02009583,-99806398810.55476379,-198971947004.42111206,100005874862.72155762,-157648426.28168082,-216551080.32099718,148166215107.29855347
1209600.00000000,-818967876.98108482,99761943388.19021606,-96266651146.81146240,-99777136865.64262390,-198864783712.95767212,100006711563.75628662,-181495257.37630543,-249159675.23260307,148009539583.05520630
1296000.00000000,-876602807.94422603,99728342733.10012817,-95990763841.14611816,-99745800891.23971558,-198753088768.33181763,100007596554.94786072,-207036300.81606519,-284053964.76836562,147849407286.19827271
1382400.00000000,-934617704.21404481,99692489107.36442566,-95711460071.75360107,-99712387236.82548523,-198636854432.64550781,100008528417.91120911,-234275058.96047589,-321234674.71897072,147685811653.84240723
1468800.00000000,-993012740.39792657,99654375338.06094360,-95428731677.49385071,-99676892106.16595459,-198516072647.20162964,100009505720.95373535,-263215153.43612280,-360702690.85937309,147518745956.54013062
1555200.00000000,-1051788117.81242478,99613994089.18006897,-95142570315.35830688,-99639311556.01829529,-198390735029.67739868,100010527018.34333801,-293860326.16928697,-402459059.50272435,147348203297.01498413
1641600.00000000,-1110944064.75832629,99571337859.28457642,-94852967458.41687012,-99599641494.77586365,-198260832871.16448975,100011590849.55905151,-326214440.46581846,-446504988.12015086,147174176608.85781860
1728000.00000000,-1170480836.80826473,99526398979.10023499,-94559914393.70956421,-99557877681.05265808,-198126357133.07312012,100012695738.52359009,-360281482.13909185,-492841846.02717149,146996658655.18597412
1814400.00000000,-1230398717.10721493,99479169609.03523254,-94263402220.08184814,-99514015722.20587158,-197987298443.89767456,100013840192.81665039,-396065560.68692398,-541471165.13761640,146815642027.26519775
1900800.00000000,-1290698016.68621659,99429641736.62648010,-93963421845.96209717,-99468051072.79541016,-197843647095.84054565,100015022702.86827087,-433570910.51838279,-592394640.78598094,146631119143.09381104
1987200.00000000,-1351379074.78969026,99377807173.91084290,-93659963987.08024597,-99419979032.97885132,-197695393041.29165649,100016241741.13121033,-472801892.23146415,-645614132.61922550,146443082245.94900513
2073600.00000000,-1412442259.21672583,99323657554.71911621,-93353019164.12605286,-99369794746.84062195,-197542525889.16006470,100017495761.23127747,-513762993.94266462,-701131665.55910802,146251523402.89474487
2160000.00000000,-1473887966.67674041,99267184331.89060974,-93042577700.34582520,-99317493200.65374756,-197385034901.05444336,100018783197.09465027,-556458832.66952980,-758949430.83621752,146056434503.25115967
2246400.00000000,-1535716623.15992093,99208378774.40606689,-92728629719.07606506,-99263069221.07278442,-197222908987.30914307,100020102462.05110168,-600894155.76731217,-819069787.09695733,145857807257.02493286
2332800.00000000,-1597928684.32288384,99147231964.43656921,-92411165141.21266174,-99206517473.25621033,-197056136702.85177612,100021451947.91192627,-647073842.42092752,-881495261.58481479,145655633193.30068970
2419200.00000000,-1660524635.89000678,99083734794.30606079,-92090173682.61415100,-99147832458.91656494,-196884706242.90872192,100022830024.02148438,-695002905.19345677,-946228551.39734030,145449903658.59262085
2505600.00000000,-1723504994.07090282,99017877963.36482239,-91765644851.43750000,-99087008514.29663086,-196708605438.54446411,100024235036.28100586,-744686491.63249958,-1013272524.82034969,145240609815.15646362
2592000.00000000,-1786870305.99453449,98949651974.77140808,-91437567945.40484619,-99024039808.06974792,-196527821752.03042603,100025665306.14353943,-796129885.93574810,-1082630222.74096060,145027742639.26126099
2678400.00000000,-1850621150.16048193,98879047132.18025208,-91105932048.99945068,-98958920339.16233826,-196342342272.03906250,100027119129.57855225,-849338510.67721212,-1154304860.14117002,144811292919.42086792
2764800.00000000,-1914758136.90790534,98806053536.33212280,-90770726030.58943176,-98891643934.49653625,-196152153708.65832520,100028594776.00486755,-904317928.59559512,-1228299827.67378283,144591251254.58453369
2851200.00000000,-1979281908.90276599,98730661081.54446411,-90431938539.47727966,-98822204246.65087891,-195957242388.22186279,100030090487.19047546,-961073844.44638801,-1304618693.32260609,144367608052.28677368
2937600.00000000,-2044193141.64389396,98652859452.09864807,-90089558002.87351990,-98750594751.43681335,-195757594247.94970703,100031604476.11759949,-1019612106.91931927,-1383265204.14893889,144140353526.75588989
3024000.00000000,-2109492543.98851848,98572638118.52085876,-89743572622.79260254,-98676808745.38862610,-195553194830.39434814,100033134925.81156921,-1079938710.62287498,-1464243288.12649512,143909477696.98101807
3110400.00000000,-2175180858.69790411,98489986333.75337219,-89393970372.86924744,-98600839343.16442871,-195344029277.68634033,100034679988.13168335,-1142059798.13768053,-1547557056.06702304,143674970384.73754883
3196800.00000000,-2241258863.00376368,98404893129.21282959,-89040738995.09306335,-98522679474.85563660,-195130082325.57382202,100036237782.52243042,-1205981662.14061284,-1633210803.63900948,143436821212.57061768
