time,body1_x,body1_y,body1_z,body2_x,body2_y,body2_z,body3_x,body3_y,body3_z
0.00000000,-86498949.10899581,99999437632.86123657,-99826338302.25256348,-99999445425.03146362,-199955567163.67666626,99999968071.51866150,-430888.58229827,-529877.39987066,149826154806.29702759
86400.00000000,-173378156.55810916,99996711724.84844971,-99649361895.40763855,-99996758067.33119202,-199906393070.01708984,99999812762.27873230,-2519236.97117971,-3096586.04346921,149648289606.98080444
172800.00000000,-260636879.02055746,99991817338.37014771,-99469064831.41087341,-99991936057.75340271,-199852473488.94320679,99999531690.74015808,-6267843.47090110,-7698184.01946172,149466399348.52340698
259200.00000000,-348274394.61325550,99984749392.36456299,-99285440989.28698730,-99984977388.55886841,-199793803877.24200439,99999122450.78068542,-11679618.17456410,-14332863.21368404,149280478785.82800293
345600.00000000,-436290002.89121473,99975502660.68003845,-99098484073.56770325,-99975879912.82806396,-199730379377.19577026,99998582610.71260071,-18757583.55791819,-22998948.65426887,149090522481.24697876
432000.00000000,-524683024.84972441,99964071770.40003967,-98908187612.66870117,-99964641343.82487488,-199662194815.09680176,99997909712.27993774,-27504875.11297229,-33694897.90323731,148896524803.55590820
518400.00000000,-613452802.93441248,99950451200.11169434,-98714544957.21463013,-99951259254.31025696,-199589244699.64556885,99997101269.63537598,-37924742.02172928,-46419300.49403360,148698479926.88290405
604800.00000000,-702598701.05929184,99934635278.11643982,-98517549278.31114197,-99935731075.80549622,-199511523220.23101807,99996154768.29573059,-50020547.87038950,-61170877.41451925,148496381829.59320068
691200.00000000,-792120104.63290513,99916618180.58139038,-98317193565.76292419,-99918054097.80447388,-199429024245.09173584,99995067664.07513428,-63795771.40440227,-77948480.63497880,148290224293.12854004
777600.00000000,-882016420.59269190,99896393929.62994385,-98113470626.23664856,-99898225466.93437195,-199341741319.35665894,99993837381.99478149,-79254007.32477680,-96751092.68072583,148080000900.80105591
864000.00000000,-972287077.44770682,99873956391.37019348,-97906373081.36767578,-99876242186.06428528,-199249667662.96377563,99992461315.16821289,-96398967.12609734,-117577826.24893233,147865705036.54141235
950400.00000000,-1062931525.32983053,99849299273.85955811,-97695893365.80943298,-99852101113.36100769,-199152796168.45507812,99990936823.66102600,-115234479.97672091,-140427923.86933950,147647329883.60079956
1036800.00000000,-1153949236.05362082,99822416125.00390625,-97482023725.22412109,-99825798961.29132080,-199051119398.64630127,99989261233.32385254,-135764493.64166999,-165300757.60854173,147424868423.20632935
1123200.00000000,-1245339703.18496394,99793300330.38960266,-97264756214.21363831,-99797332295.57003784,-198944629584.16940308,99987431834.59738159,-157993075.44876704,-192195828.81756932,147198313433.16967773
1209600.00000000,-1337102442.11869264,99761945111.04664612,-97044082694.18933105,-99766697534.05305481,-198833318620.88574219,99985445881.28829956,-181924413.29859290,-221112767.92252818,146967657486.44836426
1296000.00000000,-1429236990.16535211,99728343521.14108276,-96819994831.17929077,-99733890945.57443237,-198717178067.16824341,99983300589.31474304,-207562816.71888673,-252051334.25808752,146732892949.65936279
1382400.00000000,-1521742906.64730120,99692488445.59481812,-96592484093.57180786,-99698908648.72683716,-198596199141.04986572,99980993135.42005920,-234912717.96404165,-285011415.94363898,146494011981.54467773
1468800.00000000,-1614619773.00435066,99654372597.63072205,-96361541749.79344177,-99661746610.58418274,-198470372717.23638916,99978520655.85337830,-263978673.16038680,-319993029.80198205,146251006531.38839722
